Country,Region,Income,LifeExpectancy,Population
Mauritania,Sub-Saharan Africa,2749.063332,60.01739024,2711421
Mauritius,Sub-Saharan Africa,11348.13287,71.66341463,1186873
Mexico,Latin America & Caribbean,14856.11642,74.29973171,102808590
Micronesia. Fed. Sts.,East Asia & Pacific,3167.316354,67.2752439,107430
Moldova,Europe & Central Asia,2328.626567,66.89002439,3639592
Mongolia,East Asia & Pacific,4655.018712,62.91387805,2397438
Montenegro,Europe & Central Asia,9896.391717,73.18204878,604950
Morocco,Middle East & North Africa,4469.642712,68.49760976,28950553
Mozambique,Sub-Saharan Africa,555.5598808,48.68660976,18264536
Namibia,Sub-Saharan Africa,6110.303402,55.12070732,1897953
Nepal,South Asia,1539.768352,62.32663415,23740145
Netherlands,Europe & Central Asia,42012.99837,77.98780488,15925513
Nicaragua,Latin America & Caribbean,3474.935731,69.65807317,5026792
Niger,Sub-Saharan Africa,761.8048861,50.69795122,11224523
Nigeria,Sub-Saharan Africa,2835.988213,46.624,122876723
Norway,Europe & Central Asia,58698.78763,78.63414634,4490967
Pakistan,South Asia,3501.807846,62.77317073,138250487
Panama,Latin America & Caribbean,10283.32767,75.10197561,3028751
Papua New Guinea,East Asia & Pacific,1857.330807,58.79929268,5374051
Paraguay,Latin America & Caribbean,6084.787735,70.07468293,5302703
Peru,Latin America & Caribbean,6506.594337,70.50743902,25914875
Philippines,East Asia & Pacific,4227.328479,66.68212195,77932247
Portugal,Europe & Central Asia,26147.24702,76.31463415,10289898
Qatar,Middle East & North Africa,109415.1221,76.4955122,593453
Romania,Europe & Central Asia,10249.82965,71.16341463,22442971
Russian Federation,Europe & Central Asia,14050.85134,65.34146341,146596557
Samoa,East Asia & Pacific,4325.731538,69.48731707,174614
Sao Tome and Principe,Sub-Saharan Africa,2079.98285,63.29253659,137164
Saudi Arabia,Middle East & North Africa,35342.16882,72.52621951,21392273
Senegal,Sub-Saharan Africa,1923.909637,57.76580488,9860578
Sierra Leone,Sub-Saharan Africa,1026.64597,38.69014634,4060709
Singapore,East Asia & Pacific,51636.218,77.95121951,4027887
Slovak Republic,Europe & Central Asia,15241.70066,73.05121951,5388720
Slovenia,Europe & Central Asia,22493.61157,75.41219512,1988925
Solomon Islands,East Asia & Pacific,1730.523952,62.83673171,412336
South Africa,Sub-Saharan Africa,9926.853253,55.83687805,44000000
Spain,Europe & Central Asia,30629.76936,78.96585366,40263216
St. Vincent and the Grenadines,Latin America & Caribbean,7555.937205,70.58212195,107897
Sudan,Sub-Saharan Africa,2232.638495,57.97497561,28079664
Suriname,Latin America & Caribbean,9615.757467,67.92917073,480751
Swaziland,Sub-Saharan Africa,6853.433508,48.66407317,1063715
Sweden,Europe & Central Asia,36816.25018,79.64390244,8872109
Switzerland,Europe & Central Asia,49083.14763,79.6804878,7184250
Tajikistan,Europe & Central Asia,1185.600638,63.69529268,6186152
Tanzania,Sub-Saharan Africa,1489.654441,50.46534146,33991590
Thailand,East Asia & Pacific,9228.210149,70.63407317,62693322
Togo,Sub-Saharan Africa,1302.042194,53.46868293,4874735
Trinidad and Tobago,Latin America & Caribbean,18133.38408,68.59643902,1267980
Tunisia,Middle East & North Africa,7727.011533,72.6,9552500
Turkey,Europe & Central Asia,13011.53439,69.99934146,63240157
Uganda,Sub-Saharan Africa,1064.267338,46.41997561,23757636
United Arab Emirates,Middle East & North Africa,107206.4607,74.45153659,3050128
United Kingdom,Europe & Central Asia,32898.29567,77.74146341,58892514
United States,North America,45986.05271,76.63658537,282162411
Uruguay,Latin America & Caribbean,12874.77639,74.68597561,3321242
Uzbekistan,Europe & Central Asia,2471.438399,66.94078049,24650400
Venezuela. RB,Latin America & Caribbean,14417.1038,72.34612195,24481477
Vietnam,East Asia & Pacific,2649.719416,73.14858537,77630900
Zambia,Sub-Saharan Africa,2101.078308,43.45668293,10585220
