Country,Region,Income,LifeExpectancy,Population
Estonia,Europe & Central Asia,26593.51012,77.23902439,1314545
Guinea-Bissau,Sub-Saharan Africa,1336.462323,55.16004878,1800513
Trinidad and Tobago,Latin America & Caribbean,30497.22445,70.44056098,1354483
Gabon,Sub-Saharan Africa,18536.76837,64.38339024,1687673
Gambia. The,Sub-Saharan Africa,1555.529347,60.22843902,1928201
Mauritius,Sub-Saharan Africa,17736.92173,74.19439024,1260934
Swaziland,Sub-Saharan Africa,7910.835052,48.93473171,1269112
Cyprus,Europe & Central Asia,29452.8898,80.13156098,1153658
Fiji,East Asia & Pacific,8388.223464,70.08912195,886450
Guyana,Latin America & Caribbean,6886.960282,66.40641463,763893
Djibouti,Middle East & North Africa,3120.044328,62.0155122,876174
Bahrain,Middle East & North Africa,43408.23705,76.68326829,1361930
Montenegro,Europe & Central Asia,14533.96119,76.18070732,621810
Qatar,Middle East & North Africa,134447.7601,78.59680488,2172065
Bhutan,South Asia,7456.315988,69.4712439,765008
Comoros,Sub-Saharan Africa,1363.563075,63.25685366,769991
Equatorial Guinea,Sub-Saharan Africa,33146.19571,57.64704878,820885
Suriname,Latin America & Caribbean,15872.61477,71.15143902,538248
Cabo Verde,Sub-Saharan Africa,6219.777782,73.147,513906
Luxembourg,Europe & Central Asia,91368.11265,82.20731707,556319
Macao SAR. China,East Asia & Pacific,133675.785,80.55309756,577914
Solomon Islands,East Asia & Pacific,2032.485807,67.93080488,572171
Brunei Darussalam,East Asia & Pacific,67911.87891,78.80958537,417394
Bahamas. The,Latin America & Caribbean,22411.05684,75.23365854,383054
Iceland,Europe & Central Asia,41262.04245,82.06097561,327386
Barbados,Latin America & Caribbean,15319.51155,75.49641463,283380
Belize,Latin America & Caribbean,8043.505822,70.07743902,351706
Samoa,East Asia & Pacific,5523.946701,73.51182927,191845
Sao Tome and Principe,Sub-Saharan Africa,3030.217162,66.38460976,186342
St. Vincent and the Grenadines,Latin America & Caribbean,10240.09075,72.93685366,109360
Micronesia. Fed. Sts.,East Asia & Pacific,3177.392579,69.10107317,104044
Grenada,Latin America & Caribbean,11853.71662,73.36631707,106349
Kiribati,East Asia & Pacific,1725.85646,65.95168293,110470
Antigua and Barbuda,Latin America & Caribbean,21061.86762,75.93763415,90900
