1.000000000000000000e+00,1.000000000000000000e+00,1.904761904761904745e+01
1.000000000000000000e+00,2.000000000000000000e+00,5.238095238095237960e+01
1.000000000000000000e+00,3.000000000000000000e+00,9.523809523809523725e+00
1.000000000000000000e+00,4.000000000000000000e+00,9.523809523809523725e+00
1.000000000000000000e+00,6.000000000000000000e+00,9.523809523809523725e+00
2.000000000000000000e+00,1.000000000000000000e+00,5.617977528089888040e+00
2.000000000000000000e+00,2.000000000000000000e+00,6.629213483146067176e+01
2.000000000000000000e+00,3.000000000000000000e+00,5.056179775280899236e+00
2.000000000000000000e+00,4.000000000000000000e+00,1.404494382022471832e+01
2.000000000000000000e+00,6.000000000000000000e+00,8.988764044943820863e+00
3.000000000000000000e+00,1.000000000000000000e+00,7.142857142857143238e+00
3.000000000000000000e+00,2.000000000000000000e+00,5.357142857142856940e+01
3.000000000000000000e+00,3.000000000000000000e+00,7.142857142857143238e+00
3.000000000000000000e+00,4.000000000000000000e+00,1.428571428571428648e+01
3.000000000000000000e+00,6.000000000000000000e+00,1.785714285714285765e+01
4.000000000000000000e+00,1.000000000000000000e+00,4.651162790697674687e+00
4.000000000000000000e+00,2.000000000000000000e+00,5.813953488372092693e+01
4.000000000000000000e+00,3.000000000000000000e+00,4.651162790697674687e+00
4.000000000000000000e+00,4.000000000000000000e+00,1.860465116279069875e+01
4.000000000000000000e+00,6.000000000000000000e+00,1.395348837209302317e+01
6.000000000000000000e+00,1.000000000000000000e+00,5.555555555555555358e+00
6.000000000000000000e+00,2.000000000000000000e+00,5.833333333333333570e+01
6.000000000000000000e+00,3.000000000000000000e+00,1.388888888888888928e+01
6.000000000000000000e+00,4.000000000000000000e+00,1.666666666666666785e+01
6.000000000000000000e+00,6.000000000000000000e+00,5.555555555555555358e+00
